CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn
30,42,Male,62,97.66,Two-Year,Fiber Optic,6054.92,Yes,No
536,45,Female,21,102.76,One-Year,Fiber Optic,2157.96,Yes,Yes
696,41,Male,32,49.0,One-Year,Fiber Optic,1568.0,Yes,No
558,40,Female,50,114.46,Month-to-Month,,5723.0,No,Yes
837,60,Female,53,89.57,Month-to-Month,Fiber Optic,4747.21,Yes,Yes
597,42,Female,29,90.97,One-Year,Fiber Optic,2638.13,No,Yes
166,49,Female,42,44.06,One-Year,DSL,1850.52,Yes,No
919,40,Female,5,87.4,Month-to-Month,,437.0,No,Yes
496,50,Female,79,36.05,Two-Year,Fiber Optic,2847.95,Yes,No
825,40,Female,6,56.4,Month-to-Month,DSL,338.4,No,Yes
66,58,Male,10,54.48,One-Year,DSL,544.8,Yes,Yes
142,58,Female,8,83.72,One-Year,,669.76,No,Yes
926,29,Female,3,85.23,Month-to-Month,,255.69,No,Yes
828,39,Male,12,111.02,Month-to-Month,,1332.24,No,Yes
656,45,Male,23,105.15,Month-to-Month,DSL,2418.4500000000003,Yes,Yes
332,36,Female,23,108.36,One-Year,Fiber Optic,2492.28,Yes,Yes
665,37,Male,4,81.66,One-Year,Fiber Optic,326.64,Yes,Yes
250,49,Female,13,43.94,Two-Year,DSL,571.22,Yes,No
908,52,Male,39,116.71,One-Year,Fiber Optic,4551.69,Yes,Yes
709,24,Male,16,43.43,Two-Year,DSL,694.88,Yes,No
306,46,Male,1,81.38,One-Year,Fiber Optic,81.38,Yes,Yes
735,55,Male,4,90.41,Month-to-Month,Fiber Optic,361.64,Yes,Yes
976,26,Male,0,115.91,Month-to-Month,,0.0,No,Yes
50,27,Male,22,94.48,Month-to-Month,Fiber Optic,2078.56,Yes,Yes
897,43,Female,61,75.0,One-Year,,4575.0,No,Yes
3,51,Female,2,63.79,Month-to-Month,Fiber Optic,127.58,No,Yes
545,20,Male,9,77.84,Two-Year,Fiber Optic,700.5600000000001,No,Yes
351,48,Male,62,73.85,One-Year,DSL,4578.7,No,Yes
905,46,Female,16,106.5,Month-to-Month,,1704.0,No,Yes
537,36,Female,2,104.13,One-Year,,208.26,No,Yes
345,40,Female,7,51.43,Two-Year,Fiber Optic,360.01,No,Yes
995,34,Female,1,78.63,Month-to-Month,DSL,78.63,No,Yes
482,35,Male,3,80.99,Month-to-Month,DSL,242.97,Yes,Yes
576,22,Male,58,46.36,Month-to-Month,DSL,2688.88,Yes,Yes
34,34,Female,1,90.4,Two-Year,Fiber Optic,90.4,Yes,Yes
32,63,Female,0,76.62,Two-Year,DSL,0.0,Yes,Yes
232,47,Male,63,98.34,Two-Year,DSL,6195.42,No,Yes
964,52,Male,45,66.06,Two-Year,DSL,2972.7000000000003,Yes,No
193,47,Male,17,32.86,One-Year,Fiber Optic,558.62,Yes,No
334,38,Male,9,86.46,One-Year,DSL,778.14,Yes,Yes
4,60,Female,8,102.34,One-Year,DSL,818.72,Yes,Yes
205,31,Female,35,55.79,One-Year,Fiber Optic,1952.65,Yes,No
515,39,Female,5,92.28,Month-to-Month,DSL,461.4,No,Yes
800,45,Female,22,71.88,Month-to-Month,,1581.36,No,Yes
307,57,Male,27,46.67,Two-Year,DSL,1260.09,Yes,No
110,44,Male,18,102.6,One-Year,,1846.8,No,Yes
431,33,Female,1,35.56,Two-Year,DSL,35.56,Yes,Yes
78,42,Female,11,89.58,Month-to-Month,,985.38,No,Yes
85,36,Male,34,63.15,Month-to-Month,DSL,2147.1,Yes,Yes
287,43,Female,13,62.53,One-Year,,812.89,No,Yes
83,59,Male,11,37.95,Month-to-Month,,417.4500000000001,No,Yes
992,24,Male,32,81.93,Month-to-Month,Fiber Optic,2621.76,Yes,Yes
790,28,Female,22,35.39,One-Year,Fiber Optic,778.58,Yes,No
895,58,Male,7,97.81,Month-to-Month,Fiber Optic,684.6700000000001,Yes,Yes
399,43,Male,66,61.06,Month-to-Month,,4029.96,No,Yes
324,65,Female,7,45.76,Two-Year,DSL,320.32,No,Yes
520,52,Female,29,81.99,Two-Year,DSL,2377.71,Yes,No
917,51,Male,3,78.99,Month-to-Month,Fiber Optic,236.97,Yes,Yes
923,46,Female,25,92.04,Month-to-Month,Fiber Optic,2301.0,No,Yes
6,42,Female,16,119.75,Two-Year,DSL,1916.0,Yes,Yes
732,35,Female,20,44.07,Month-to-Month,DSL,881.4,No,Yes
466,42,Female,0,96.14,Two-Year,,0.0,No,Yes
98,47,Female,3,59.28,Month-to-Month,Fiber Optic,177.84,Yes,Yes
267,61,Female,1,35.13,Two-Year,DSL,35.13,Yes,Yes
358,42,Male,1,45.36,Two-Year,Fiber Optic,45.36,Yes,Yes
869,51,Male,1,84.64,Month-to-Month,DSL,84.64,No,Yes
799,45,Male,4,59.88,Month-to-Month,DSL,239.52,Yes,Yes
381,36,Male,9,45.61,Month-to-Month,Fiber Optic,410.49,Yes,Yes
632,60,Female,83,89.36,Month-to-Month,Fiber Optic,7416.88,Yes,Yes
382,39,Male,1,64.18,Two-Year,DSL,64.18,Yes,Yes
491,44,Female,64,81.92,Two-Year,DSL,5242.88,No,Yes
119,56,Female,14,100.54,Month-to-Month,DSL,1407.5600000000002,Yes,Yes
901,48,Male,56,32.31,One-Year,DSL,1809.36,Yes,No
251,32,Female,1,37.45,Month-to-Month,DSL,37.45,Yes,Yes
524,50,Male,8,72.96,Month-to-Month,Fiber Optic,583.68,No,Yes
10,50,Female,10,61.55,Month-to-Month,Fiber Optic,615.5,Yes,Yes
197,36,Male,28,109.29,One-Year,Fiber Optic,3060.1200000000003,Yes,Yes
604,58,Female,0,106.02,Two-Year,Fiber Optic,0.0,Yes,Yes
82,48,Female,31,46.9,Two-Year,Fiber Optic,1453.9,No,Yes
784,51,Female,57,50.36,Month-to-Month,Fiber Optic,2870.52,No,Yes
588,36,Female,1,49.84,Month-to-Month,,49.84,No,Yes
798,51,Female,36,113.6,Month-to-Month,Fiber Optic,4089.6,Yes,Yes
240,53,Male,35,41.67,One-Year,DSL,1458.45,Yes,No
291,42,Female,1,70.86,Month-to-Month,Fiber Optic,70.86,Yes,Yes
212,56,Female,11,71.85,Month-to-Month,Fiber Optic,790.3499999999999,No,Yes
718,46,Male,8,47.41,One-Year,Fiber Optic,379.28,Yes,Yes
360,36,Female,10,48.4,Month-to-Month,DSL,484.0,Yes,Yes
450,34,Female,30,49.12,Month-to-Month,Fiber Optic,1473.6,No,Yes
228,34,Male,8,39.09,One-Year,Fiber Optic,312.72,Yes,Yes
951,42,Male,13,52.58,One-Year,DSL,683.54,Yes,No
947,29,Female,15,98.06,One-Year,Fiber Optic,1470.9,Yes,No
797,44,Male,10,73.07,Two-Year,Fiber Optic,730.6999999999999,Yes,Yes
502,64,Male,19,39.29,One-Year,,746.51,No,Yes
465,43,Male,3,40.79,Month-to-Month,,122.37,No,Yes
363,43,Male,4,85.36,Month-to-Month,,341.44,No,Yes
469,39,Male,2,74.35,One-Year,,148.7,No,Yes
936,39,Male,18,80.08,Month-to-Month,,1441.44,No,Yes
429,55,Female,10,63.53,Month-to-Month,DSL,635.3,Yes,Yes
8,52,Female,6,58.9,One-Year,,353.4,No,Yes
156,37,Female,67,90.73,One-Year,DSL,6078.91,No,Yes
542,33,Male,0,40.68,Month-to-Month,Fiber Optic,0.0,Yes,Yes
441,48,Male,94,89.57,One-Year,Fiber Optic,8419.58,No,Yes
483,28,Male,11,89.13,Month-to-Month,,980.43,No,Yes
423,42,Female,37,69.85,Month-to-Month,DSL,2584.45,Yes,Yes
779,44,Female,18,91.43,Two-Year,Fiber Optic,1645.7400000000002,Yes,No
950,47,Female,3,114.13,One-Year,Fiber Optic,342.39,Yes,Yes
335,54,Female,20,97.52,Month-to-Month,,1950.4,No,Yes
577,47,Female,44,44.11,Month-to-Month,Fiber Optic,1940.84,Yes,Yes
935,49,Female,14,93.16,One-Year,Fiber Optic,1304.24,Yes,No
568,34,Female,17,52.98,Month-to-Month,Fiber Optic,900.66,Yes,Yes
595,55,Male,8,97.72,Month-to-Month,,781.76,No,Yes
531,51,Male,26,72.0,One-Year,Fiber Optic,1872.0,Yes,No
582,40,Female,4,109.14,One-Year,Fiber Optic,436.56,Yes,Yes
708,62,Male,19,43.85,Month-to-Month,Fiber Optic,833.15,No,Yes
449,39,Male,19,30.62,Month-to-Month,DSL,581.78,Yes,Yes
454,50,Male,20,109.61,Two-Year,Fiber Optic,2192.2,Yes,Yes
229,37,Female,32,45.07,Two-Year,Fiber Optic,1442.24,Yes,No
353,53,Female,11,83.72,Two-Year,Fiber Optic,920.92,Yes,Yes
729,39,Male,1,90.58,Two-Year,DSL,90.58,Yes,Yes
213,54,Female,37,106.26,One-Year,DSL,3931.62,No,Yes
80,25,Female,6,100.02,Month-to-Month,,600.12,No,Yes
149,50,Female,11,118.3,Month-to-Month,DSL,1301.3,Yes,Yes
303,52,Male,6,63.5,Month-to-Month,Fiber Optic,381.0,No,Yes
629,45,Female,9,119.13,Month-to-Month,DSL,1072.17,Yes,Yes
778,42,Female,6,84.28,Month-to-Month,Fiber Optic,505.68,Yes,Yes
507,39,Male,57,103.69,Two-Year,DSL,5910.33,Yes,Yes
343,47,Female,60,56.23,One-Year,DSL,3373.8,Yes,No
486,30,Female,37,59.41,Month-to-Month,Fiber Optic,2198.17,Yes,Yes
712,44,Female,0,66.76,Two-Year,DSL,0.0,Yes,Yes
134,49,Female,43,82.82,One-Year,,3561.26,No,Yes
704,30,Male,41,44.52,One-Year,DSL,1825.32,Yes,No
312,55,Female,6,55.71,Month-to-Month,,334.26,No,Yes
723,31,Male,1,56.76,One-Year,Fiber Optic,56.76,Yes,Yes
630,55,Male,46,32.32,Month-to-Month,,1486.72,No,Yes
1,49,Male,4,88.35,Month-to-Month,Fiber Optic,353.4,Yes,Yes
317,51,Female,5,63.71,Month-to-Month,,318.55,No,Yes
707,32,Female,5,98.41,Two-Year,,492.05,No,Yes
548,42,Female,60,66.7,Month-to-Month,DSL,4002.0,Yes,Yes
873,31,Female,28,58.34,Month-to-Month,DSL,1633.52,Yes,Yes
533,44,Female,11,105.68,Month-to-Month,Fiber Optic,1162.48,Yes,Yes
478,48,Female,12,95.97,Two-Year,,1151.64,No,Yes
405,40,Female,14,85.03,Month-to-Month,DSL,1190.42,Yes,Yes
173,44,Female,12,105.36,Two-Year,,1264.32,No,Yes
126,66,Female,0,86.14,Two-Year,Fiber Optic,0.0,Yes,Yes
395,56,Male,15,104.42,Month-to-Month,DSL,1566.3,No,Yes
421,65,Male,20,60.6,One-Year,DSL,1212.0,Yes,No
553,56,Female,16,94.33,One-Year,Fiber Optic,1509.28,Yes,No
904,57,Male,9,85.54,Month-to-Month,DSL,769.86,No,Yes
91,45,Female,9,51.91,Two-Year,Fiber Optic,467.19,Yes,Yes
940,39,Female,5,58.42,Month-to-Month,,292.1,No,Yes
182,36,Female,31,78.23,Month-to-Month,Fiber Optic,2425.13,Yes,Yes
275,35,Female,10,58.25,One-Year,,582.5,No,Yes
896,51,Female,49,108.56,One-Year,Fiber Optic,5319.4400000000005,Yes,Yes
70,38,Male,0,87.27,One-Year,,0.0,No,Yes
292,40,Male,22,98.62,Month-to-Month,Fiber Optic,2169.6400000000003,Yes,Yes
132,45,Female,62,86.22,Month-to-Month,DSL,5345.64,No,Yes
301,36,Male,6,50.68,One-Year,Fiber Optic,304.08,Yes,Yes
425,51,Male,45,60.9,Month-to-Month,DSL,2740.5,No,Yes
327,56,Female,11,49.64,Month-to-Month,,546.04,No,Yes
145,47,Female,16,60.77,Two-Year,Fiber Optic,972.32,Yes,No
424,54,Male,0,53.49,Two-Year,DSL,0.0,Yes,Yes
581,48,Female,13,45.14,One-Year,,586.82,No,Yes
136,60,Female,35,119.16,One-Year,DSL,4170.599999999999,No,Yes
451,44,Male,17,89.72,Month-to-Month,Fiber Optic,1525.24,Yes,Yes
165,54,Male,101,54.78,Month-to-Month,,5532.78,No,Yes
29,38,Female,34,100.38,Two-Year,DSL,3412.92,Yes,Yes
774,54,Male,22,106.22,Month-to-Month,DSL,2336.84,Yes,Yes
194,32,Male,9,68.1,One-Year,,612.9,No,Yes
389,54,Male,8,90.97,One-Year,DSL,727.76,Yes,Yes
853,38,Female,30,95.6,One-Year,Fiber Optic,2868.0,Yes,No
170,37,Male,4,93.46,Month-to-Month,Fiber Optic,373.84,Yes,Yes
706,51,Male,31,102.49,Month-to-Month,DSL,3177.19,Yes,Yes
141,47,Male,9,50.6,Month-to-Month,DSL,455.4,Yes,Yes
174,48,Female,15,45.28,Two-Year,Fiber Optic,679.2,No,Yes
7,60,Male,14,80.32,One-Year,,1124.48,No,Yes
746,37,Female,70,56.05,One-Year,DSL,3923.5,Yes,No
479,75,Female,15,89.28,Month-to-Month,DSL,1339.2,Yes,Yes
74,60,Male,26,92.52,Month-to-Month,DSL,2405.52,No,Yes
911,41,Male,39,82.7,Two-Year,DSL,3225.3,Yes,No
814,46,Female,19,81.92,Two-Year,,1556.48,No,Yes
239,38,Male,26,50.93,One-Year,DSL,1324.18,Yes,No
146,52,Male,15,77.49,Two-Year,DSL,1162.35,Yes,No
793,47,Female,17,106.45,One-Year,,1809.65,No,Yes
235,66,Male,22,55.05,Month-to-Month,Fiber Optic,1211.1,Yes,Yes
221,68,Female,0,37.66,One-Year,,0.0,No,Yes
924,37,Male,26,52.71,Month-to-Month,DSL,1370.46,No,Yes
501,54,Female,1,77.91,Month-to-Month,DSL,77.91,No,Yes
133,34,Female,7,107.8,Month-to-Month,Fiber Optic,754.6,Yes,Yes
991,47,Female,9,108.47,Two-Year,,976.23,No,Yes
775,51,Female,24,59.19,One-Year,,1420.56,No,Yes
186,52,Male,41,81.53,Month-to-Month,DSL,3342.73,Yes,Yes
42,46,Female,9,98.28,Two-Year,Fiber Optic,884.52,Yes,Yes
697,48,Female,16,97.72,Month-to-Month,Fiber Optic,1563.52,Yes,Yes
109,47,Female,22,97.34,Two-Year,Fiber Optic,2141.48,Yes,No
589,53,Male,1,109.76,Month-to-Month,Fiber Optic,109.76,No,Yes
57,36,Male,18,111.71,Month-to-Month,DSL,2010.78,Yes,Yes
406,51,Male,74,91.06,Month-to-Month,Fiber Optic,6738.4400000000005,No,Yes
443,24,Male,65,97.85,Month-to-Month,DSL,6360.25,Yes,Yes
758,46,Female,6,80.06,Month-to-Month,Fiber Optic,480.36,Yes,Yes
998,51,Female,15,111.72,Month-to-Month,Fiber Optic,1675.8,Yes,Yes
25,39,Male,47,79.36,One-Year,DSL,3729.92,Yes,No
468,52,Female,11,55.92,Month-to-Month,DSL,615.12,Yes,Yes
540,39,Female,50,57.3,Month-to-Month,Fiber Optic,2865.0,Yes,Yes
532,28,Female,2,73.39,Month-to-Month,DSL,146.78,Yes,Yes
619,49,Male,5,116.92,Month-to-Month,Fiber Optic,584.6,Yes,Yes
695,50,Female,3,37.52,Two-Year,DSL,112.56,No,Yes
927,39,Male,1,110.81,Month-to-Month,DSL,110.81,Yes,Yes
339,49,Female,24,38.44,Month-to-Month,DSL,922.56,Yes,Yes
52,41,Male,8,48.2,One-Year,DSL,385.6,No,Yes
508,36,Male,64,118.52,Month-to-Month,,7585.28,No,Yes
517,50,Male,21,50.39,Month-to-Month,,1058.19,No,Yes
921,55,Female,3,33.74,Month-to-Month,DSL,101.22,Yes,Yes
782,31,Male,2,54.83,Month-to-Month,Fiber Optic,109.66,Yes,Yes
265,42,Male,31,57.58,One-Year,Fiber Optic,1784.98,Yes,No
818,53,Female,1,38.09,One-Year,Fiber Optic,38.09,Yes,Yes
711,47,Male,47,62.5,One-Year,Fiber Optic,2937.5,Yes,No
683,39,Female,24,34.55,Month-to-Month,Fiber Optic,829.1999999999999,No,Yes
833,34,Female,60,56.62,Month-to-Month,DSL,3397.2,Yes,Yes
519,45,Male,16,52.76,One-Year,DSL,844.16,Yes,No
448,35,Male,3,35.0,Two-Year,,105.0,No,Yes
19,35,Male,98,49.59,Two-Year,Fiber Optic,4859.820000000001,Yes,No
716,56,Male,6,65.27,One-Year,,391.62,No,Yes
484,47,Female,4,110.85,Month-to-Month,DSL,443.4,Yes,Yes
569,26,Female,11,39.53,Month-to-Month,,434.83,No,Yes
434,52,Female,13,83.57,Month-to-Month,,1086.41,No,Yes
368,45,Female,22,33.14,Two-Year,Fiber Optic,729.08,No,Yes
84,39,Female,32,92.91,One-Year,DSL,2973.12,No,Yes
62,43,Male,1,64.45,One-Year,,64.45,No,Yes
639,32,Female,24,57.65,Month-to-Month,Fiber Optic,1383.6,No,Yes
273,56,Female,32,99.93,Month-to-Month,,3197.76,No,Yes
286,25,Male,43,105.44,Month-to-Month,Fiber Optic,4533.92,No,Yes
361,50,Female,34,60.64,Two-Year,Fiber Optic,2061.76,Yes,No
355,44,Male,4,99.25,Month-to-Month,,397.0,No,Yes
457,43,Male,6,58.25,One-Year,DSL,349.5,Yes,Yes
279,45,Male,5,110.06,One-Year,Fiber Optic,550.3,Yes,Yes
13,47,Male,2,63.26,Two-Year,,126.52,No,Yes
183,34,Female,2,73.96,One-Year,,147.92,No,Yes
369,45,Female,18,79.6,Two-Year,Fiber Optic,1432.8,No,Yes
882,39,Female,42,103.12,Month-to-Month,DSL,4331.04,No,Yes
616,46,Female,0,54.48,One-Year,,0.0,No,Yes
224,28,Female,25,48.97,Month-to-Month,Fiber Optic,1224.25,Yes,Yes
573,48,Male,6,89.23,One-Year,,535.38,No,Yes
971,46,Female,12,88.34,Month-to-Month,,1060.08,No,Yes
654,33,Male,54,51.04,Two-Year,,2756.16,No,Yes
546,37,Male,28,32.94,Two-Year,DSL,922.32,Yes,No
583,51,Male,17,80.13,Month-to-Month,Fiber Optic,1362.21,No,Yes
634,40,Male,9,40.83,Two-Year,,367.47,No,Yes
177,45,Female,48,84.87,Month-to-Month,DSL,4073.76,Yes,Yes
666,46,Male,8,65.36,Month-to-Month,,522.88,No,Yes
674,41,Male,13,65.79,Month-to-Month,,855.2700000000001,No,Yes
586,47,Female,38,95.83,Month-to-Month,Fiber Optic,3641.54,Yes,Yes
874,37,Male,10,38.7,One-Year,DSL,387.0,Yes,Yes
394,63,Female,10,31.72,Two-Year,Fiber Optic,317.2,Yes,Yes
164,36,Female,10,88.38,One-Year,,883.8,No,Yes
249,62,Female,1,107.82,Month-to-Month,Fiber Optic,107.82,Yes,Yes
635,34,Female,17,114.47,Month-to-Month,DSL,1945.99,Yes,Yes
886,63,Male,6,90.53,Two-Year,DSL,543.1800000000001,Yes,Yes
670,55,Female,24,100.86,Month-to-Month,,2420.64,No,Yes
376,37,Female,10,34.47,Two-Year,DSL,344.7,No,Yes
413,29,Female,0,55.35,Two-Year,Fiber Optic,0.0,Yes,Yes
75,18,Female,21,49.68,Month-to-Month,Fiber Optic,1043.28,Yes,Yes
114,69,Female,12,33.63,One-Year,Fiber Optic,403.56000000000006,No,Yes
599,40,Female,3,95.83,Month-to-Month,Fiber Optic,287.49,Yes,Yes
962,58,Male,4,70.66,One-Year,Fiber Optic,282.64,Yes,Yes
